repo,file_path,file_type,job_name,step_name,task_category,normalized_tool,raw_match
boto3,.github/workflows/closed-issue-message.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/closed-issue-message.yml
boto3,.github/workflows/codeql.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/codeql.yml
boto3,.github/workflows/fail-master-prs.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/fail-master-prs.yml
boto3,.github/workflows/handle-stale-discussions.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/handle-stale-discussions.yml
boto3,.github/workflows/issue-regression-labeler.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/issue-regression-labeler.yml
boto3,.github/workflows/lint.yml,github_actions,,,code_management_analysis,pre-commit,pre-commit
boto3,.github/workflows/lint.yml,github_actions,lint,Run pre-commit,code_management_analysis,pre-commit,pre-commit
boto3,.github/workflows/lint.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
boto3,.github/workflows/lint.yml,github_actions,lint,Set up Python 3.10,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
boto3,.github/workflows/lint.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/lint.yml
boto3,.github/workflows/pull-request-build.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/pull-request-build.yml
boto3,.github/workflows/run-crt-test.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
boto3,.github/workflows/run-crt-test.yml,github_actions,build,Set up Python ${{ matrix.python-version }},configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
boto3,.github/workflows/run-crt-test.yml,github_actions,,,configuration_provisioning,pip,pip
boto3,.github/workflows/run-crt-test.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/run-crt-test.yml
boto3,.github/workflows/run-tests.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
boto3,.github/workflows/run-tests.yml,github_actions,build,Set up Python ${{ matrix.python-version }},configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
boto3,.github/workflows/run-tests.yml,github_actions,,,configuration_provisioning,pip,pip
boto3,.github/workflows/run-tests.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/run-tests.yml
boto3,.github/workflows/stale_issue.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/stale_issue.yml
boto3,.github/workflows/zizmor.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/zizmor.yml
boto3,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,pre-commit,pre-commit
boto3,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,ruff,ruff
boto3,pyproject.toml,pyproject,,,code_management_analysis,black,Black
boto3,pyproject.toml,pyproject,,,code_management_analysis,flake8,Flake8
boto3,pyproject.toml,pyproject,,,code_management_analysis,flake8,flake8
boto3,pyproject.toml,pyproject,,,code_management_analysis,isort,isort
boto3,pyproject.toml,pyproject,,,code_management_analysis,ruff,[tool.ruff]
boto3,pyproject.toml,pyproject,,,code_management_analysis,ruff,ruff
boto3,pyproject.toml,pyproject,,,code_management_analysis,ruff,Ruff
boto3,pyproject.toml,pyproject,,,configuration_provisioning,nox,nox
boto3,pyproject.toml,pyproject,,,configuration_provisioning,tox,tox
boto3,pyproject.toml,pyproject,,,configuration_provisioning,venv,venv
boto3,pyproject.toml,pyproject,,,testing_tool,nox,nox
boto3,pyproject.toml,pyproject,,,testing_tool,pytest,[tool.pytest]
boto3,pyproject.toml,pyproject,,,testing_tool,pytest,pytest
boto3,pyproject.toml,pyproject,,,testing_tool,tox,tox
boto3,scripts/ci/install,script,,,configuration_provisioning,pip,pip
boto3,scripts/ci/install-dev-deps,script,,,configuration_provisioning,pip,pip
boto3,scripts/ci/run-tests,script,,,testing_tool,coverage,coverage
boto3,scripts/ci/run-tests,script,,,testing_tool,pytest,pytest
boto3,setup.py,setup_py,,,build_tool,setuptools,setuptools
boto3,tox.ini,tox_ini,,,configuration_provisioning,tox,tox
boto3,tox.ini,tox_ini,,,configuration_provisioning,venv,virtualenv
boto3,tox.ini,tox_ini,,,testing_tool,tox,tox
packaging,.github/workflows/codeql.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/codeql.yml
packaging,.github/workflows/docs.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
packaging,.github/workflows/docs.yml,github_actions,,,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
