repo_name,repo_url,pypi_rank
boto3,https://github.com/boto/boto3,1
packaging,https://github.com/pypa/packaging,2
setuptools,https://github.com/pypa/setuptools,3
urllib3,https://github.com/urllib3/urllib3,4
certifi,https://github.com/certifi/python-certifi,5
typing-extensions,https://github.com/python/typing_extensions,6
requests,https://github.com/psf/requests,7
charset-normalizer,https://github.com/jawah/charset_normalizer,8
idna,https://github.com/kjd/idna,9
botocore,https://github.com/boto/botocore,10
aiobotocore,https://github.com/aio-libs/aiobotocore,11
python-dateutil,https://github.com/dateutil/dateutil,12
cryptography,https://github.com/pyca/cryptography,13
six,https://github.com/benjaminp/six,14
numpy,https://github.com/numpy/numpy,15
cffi,https://github.com/python-cffi/cffi,16
pyyaml,https://github.com/yaml/pyyaml,17
grpcio-status,https://github.com/grpc/grpc,18
pycparser,https://github.com/eliben/pycparser,19
pydantic,https://github.com/pydantic/pydantic,20
pluggy,https://github.com/pytest-dev/pluggy,21
s3transfer,https://github.com/boto/s3transfer,22
pygments,https://github.com/pygments/pygments,23
click,https://github.com/pallets/click,24
attrs,https://github.com/python-attrs/attrs,25
protobuf,https://github.com/protocolbuffers/protobuf,26
pydantic-core,https://github.com/pydantic/pydantic/tree/main/pydantic-core,27
anyio,https://github.com/agronholm/anyio,28
fsspec,https://github.com/fsspec/filesystem_spec,29
pandas,https://github.com/pandas-dev/pandas,30
pytest,https://github.com/pytest-dev/pytest,31
h11,https://github.com/python-hyper/h11,32
markupsafe,https://github.com/pallets/markupsafe/,33
iniconfig,https://github.com/pytest-dev/iniconfig,34
s3fs,https://github.com/fsspec/s3fs/,35
platformdirs,https://github.com/tox-dev/platformdirs,36
annotated-types,https://github.com/annotated-types/annotated-types,37
pip,https://github.com/pypa/pip,38
wheel,https://github.com/pypa/wheel,39
jinja2,https://github.com/pallets/jinja/,40
jmespath,https://github.com/jmespath/jmespath.py,41
importlib-metadata,https://github.com/python/importlib_metadata,42
filelock,https://github.com/tox-dev/filelock,43
pathspec,https://github.com/cpburnz/python-pathspec,44
pyjwt,https://github.com/jpadilla/pyjwt,45
httpx,https://github.com/encode/httpx,46
typing-inspection,https://github.com/pydantic/typing-inspection,47
python-dotenv,https://github.com/theskumar/python-dotenv,48
httpcore,https://github.com/encode/httpcore,49
pytz,https://github.com/stub42/pytz,50
zipp,https://github.com/jaraco/zipp,51
rich,https://github.com/Textualize/rich,52
pyasn1,https://github.com/pyasn1/pyasn1,53
jsonschema,https://github.com/python-jsonschema/jsonschema,54
yarl,https://github.com/aio-libs/yarl,55
multidict,https://github.com/aio-libs/multidict,56
aiohttp,https://github.com/aio-libs/aiohttp,57
google-auth,https://github.com/googleapis/google-auth-library-python,58
uvicorn,https://github.com/Kludex/uvicorn,59
markdown-it-py,https://github.com/executablebooks/markdown-it-py,60
google-api-core,https://github.com/googleapis/google-cloud-python,61
tzdata,https://github.com/python/tzdata,62
tqdm,https://github.com/tqdm/tqdm,63
tomli,https://github.com/hukkin/tomli,64
colorama,https://github.com/tartley/colorama,65
googleapis-common-protos,https://github.com/googleapis/google-cloud-python/tree/main/packages/googleapis-common-protos,66
mdurl,https://github.com/executablebooks/mdurl,67
starlette,https://github.com/Kludex/starlette,68
virtualenv,https://github.com/pypa/virtualenv,69
awscli,https://github.com/aws/aws-cli,70
pillow,https://github.com/python-pillow/Pillow,71
propcache,https://github.com/aio-libs/propcache,72
frozenlist,https://github.com/aio-libs/frozenlist,73
scipy,https://github.com/scipy/scipy,74
rpds-py,https://github.com/crate-py/rpds,75
trove-classifiers,https://github.com/pypa/trove-classifiers,76
fastapi,https://github.com/fastapi/fastapi,77
rsa,https://github.com/sybrenstuvel/python-rsa,78
referencing,https://github.com/python-jsonschema/referencing,79
wrapt,https://github.com/GrahamDumpleton/wrapt,80
pyasn1-modules,https://github.com/pyasn1/pyasn1-modules,81
aiosignal,https://github.com/aio-libs/aiosignal,82
jsonschema-specifications,https://github.com/python-jsonschema/jsonschema-specifications,83
greenlet,https://github.com/python-greenlet/greenlet,84
grpcio,https://github.com/grpc/grpc,85
sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,86
requests-oauthlib,https://github.com/requests/requests-oauthlib,87
pyarrow,https://github.com/apache/arrow,88
pyparsing,https://github.com/pyparsing/pyparsing,89
aiohappyeyeballs,https://github.com/aio-libs/aiohappyeyeballs,90
opentelemetry-api,https://github.com/open-telemetry/opentelemetry-python,91
tenacity,https://github.com/jd/tenacity,92
annotated-doc,https://github.com/fastapi/annotated-doc,93
cachetools,https://github.com/tkem/cachetools/,94
regex,https://github.com/mrabarnett/mrab-regex,95
psutil,https://github.com/giampaolo/psutil,96
opentelemetry-semantic-conventions,https://github.com/open-telemetry/opentelemetry-python,97
hatchling,https://github.com/pypa/hatch,98
oauthlib,https://github.com/oauthlib/oauthlib,99
opentelemetry-sdk,https://github.com/open-telemetry/opentelemetry-python,100
